ts_local	level	event	strip_name	device_id	channel	message
2026-07-09 13:31:39	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:32:43	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:33:47	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:33:49	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:34:53	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:34:55	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:35:58	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:36:03	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:37:04	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:37:06	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:38:09	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:39:13	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:40:17	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:41:21	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:41:23	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:42:29	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:43:33	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:43:38	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:44:40	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:44:42	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
2026-07-09 13:45:04	INFO	strip_plan	ps1	206ef102c9d8		slot=2026-07-09 13:45; target_strip_w=200; states=[1,0,0,0]
2026-07-09 13:45:04	INFO	strip_plan	ps2	98a3167b6a8c		slot=2026-07-09 13:45; target_strip_w=0; states=[0,0,0,0]
2026-07-09 13:45:04	INFO	strip_plan	ps3	98a3166b6128		slot=2026-07-09 13:45; target_strip_w=0; states=[0,0,0,0]
2026-07-09 13:45:04	INFO	load_change				LOAD CHANGE slot=2026-07-09 13:45 target=230W nominal=200W overshoot=0W states: ps1=[1,0,0,0]; ps2=[0,0,0,0]; ps3=[0,0,0,0]
2026-07-09 13:45:45	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:46:49	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:47:53	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:48:57	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:50:01	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 2 s
2026-07-09 13:50:03	WARN	rate_limit				429 Too Many Requests for /device/status, retrying in 4 s
