device_status	date	time	battery_voltage_V	pv1_voltage_V	pv2_voltage_V	SOC	capacity_Ah	total_charge_discharge_battery_A	pv1_current_A	pv2_current_A	module_current_A	total_batt_current_A	load_current_A	total_batt_discharge_current_A	temperature_C	error	charging_mode	AUX1	AUX2	AUX3	energy_input_24h_Ah	energy_input_tot_Ah	energy_output_24h_Ah	energy_output_tot_Ah	derating_Ah	checksum	pv1_power_W	pv2_power_W	pv_power_total_W
1	2026/09/02	16:08	48.2	64.4	62.8	#	#	42.1	9.0	8.6	#	19.4	#	19.4	24.3	0	B	1	1	0	163	4449	163	4263	0	ED33	579.6	540.08	1119.68
1	2026/09/02	16:09	49.5	64.7	64.5	#	#	39.3	2.7	2.6	#	19.5	#	19.5	24.3	0	B	1	0	0	163	4449	163	4263	0	72DE	174.69	167.7	342.39
1	2026/09/02	16:10	51.3	66.9	66.5	#	#	17.9	13.4	13.2	#	8.4	#	8.4	24.3	0	B	1	1	0	163	4449	163	4263	0	26FE	896.46	877.8	1774.26
1	2026/09/02	16:11	49.3	64.3	65.8	#	#	17.8	2.8	2.5	#	9.1	#	9.1	24.3	0	B	1	0	0	163	4449	163	4263	0	EF20	180.04	164.5	344.54
1	2026/09/02	16:12	49.7	64.9	64.6	#	#	33.3	3.2	3.2	#	15.2	#	15.2	24.3	0	B	1	0	0	164	4450	164	4264	0	4280	207.68	206.72	414.4
1	2026/09/02	16:13	49.4	64.2	64.3	#	#	14.6	5.9	7.1	#	7.1	#	7.1	24.3	0	B	1	0	0	164	4450	164	4264	0	7864	378.78	456.53	835.31
1	2026/09/02	16:14	49.4	64.3	64.3	#	#	22.1	2.9	2.9	#	10.9	#	10.9	24.3	0	B	1	0	0	164	4450	164	4264	0	76F2	186.47	186.47	372.94
1	2026/09/02	16:15	49.6	64.6	64.7	#	#	29.0	2.7	2.6	#	13.6	#	13.6	24.2	0	B	1	0	0	164	4450	164	4264	0	59E0	174.42	168.22	342.64
1	2026/09/02	16:16	49.7	64.8	65.9	#	#	11.1	3.0	2.8	#	5.3	#	5.3	24.2	0	B	1	0	0	164	4450	164	4264	0	32E0	194.4	184.52	378.92
1	2026/09/02	16:17	49.7	65.0	64.8	#	#	11.2	3.5	3.5	#	5.4	#	5.4	24.2	0	B	1	1	0	164	4450	164	4264	0	3581	227.5	226.8	454.3
1	2026/09/02	16:18	49.7	65.0	64.7	#	#	18.2	3.6	3.6	#	9.0	#	9.0	24.2	0	B	1	0	0	164	4450	164	4264	0	38B8	234	232.92	466.92
1	2026/09/02	16:19	50.0	65.4	64.9	#	#	15.1	15.1	15.1	#	7.3	#	7.3	24.2	0	B	1	1	0	165	4451	165	4265	0	59F9	987.54	979.99	1967.53
1	2026/09/02	16:20	49.4	64.4	64.1	#	#	51.5	15.5	15.5	#	25.4	#	25.4	24.2	0	B	1	1	0	165	4451	165	4265	0	E21A	998.2	993.55	1991.75
1	2026/09/02	16:21	48.8	63.8	63.4	#	#	62.7	15.4	15.5	#	30.7	#	30.7	24.2	0	B	1	1	0	165	4451	165	4265	0	4ADD	982.52	982.7	1965.22
1	2026/09/02	16:22	48.5	63.4	63.1	#	#	62.7	15.2	15.2	#	30.6	#	30.6	24.2	0	B	1	1	0	166	4452	166	4266	0	824C	963.68	959.12	1922.8
1	2026/09/02	16:23	50.9	66.3	66.4	#	#	62.4	13.6	13.5	#	30.4	#	30.4	24.2	0	B	1	1	0	167	4453	167	4267	0	1E86	901.68	896.4	1798.08
